Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
0,0,0,1,0,1,0,0,0,2,0,2,0,0,70,4,0,1,1,0,1,0,21,0,0,0.279193733992485,0.720806266007528,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,1,3,1,0,1,0,7,0,0,0.286504037675306,0.713495962324695,0,0,1
1,0,1,1,0,1,2,0,2,5,0,4,0,0,46,4,0,2,0,0,0,0,4,6001,2145,0.403952700905444,0.596047299094558,0,0,1
1,1,1,1,1,1,42,1,42,3,1,28,0,1,56,7,0,2,0,0,0,0,0,2658326,0,0.006908152597139,0.993091847402853,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,139,8,1,3,0,0,1,0,40,0,0,0.040777739830492,0.959222260169517,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0.443596161427387,0.556403838572599,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,83,6,0,2,0,0,0,0,22,0,0,0.219267345343049,0.780732654656964,0,0,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,38,3,0,1,1,0,0,0,0,0,0,0.430928972918043,0.569071027081944,0,0,1
1,1,1,1,0,1,1,1,1,2,0,26,0,0,96,3,1,3,1,0,1,0,18,2564456,0,0.002012362163146,0.997987637836861,1,1,1
1,0,1,1,0,1,14,0,14,60,0,147,0,1,117,4,1,1,0,6,4,3,21,233882,41943,0.237609016174002,0.762390983825992,1,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,5,0,0,0,0,0,0,0,0.375119630867592,0.624880369132411,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,6,0,0,0,0,5,0,0,0.273240248339056,0.726759751660944,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,0,4,0,0,0,0,4,0,0,0.356212854146857,0.643787145853137,0,0,1
1,0,1,1,0,1,11,0,11,1,0,1,0,0,31,3,0,5,0,0,0,0,0,1759903,0,0.091342081014533,0.908657918985464,1,1,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,59,3,0,6,0,0,0,0,3,6001,2145,0.352313939092088,0.647686060907925,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,0,2,0,0,0,0,18,0,0,0.317634251589009,0.682365748410996,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,5,1,0,0,0,0,0,0,0.370872045128099,0.629127954871894,0,0,1
1,0,1,1,0,1,11,0,11,1,0,1,0,0,38,3,0,11,0,0,0,0,0,1759903,0,0.083817021640263,0.916182978359727,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,5,2,0,0,0,0,0,0,0.342276117616267,0.657723882383722,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,4,0,0,0,0,0,0,0,0.359022077483562,0.640977922516447,0,0,1
